name,identifier,quantity,price,lastUpdated,supplier.name,supplier.identifier
Modern Concrete Mouse,igivp7bnvc,70722,679.00,2022-08-25T14:11:32.276Z,Mills - Beier,w6hjvtcvbn
Refined Bronze Sausages,y4hiv9wcz8,52881,962.00,2022-08-25T19:34:16.046Z,Beier Group,04ei5jht1u
Bespoke Soft Shoes,2zfy9dfli4,72739,237.00,2022-08-25T07:21:38.261Z,"Gutmann, Nolan and Gerhold",evai01f9mr
Recycled Cotton Ball,s9aeza61v8,67251,415.00,2022-08-24T20:53:22.491Z,"Daniel, Nitzsche and Fadel",gtosp5uui5
Oriental Plastic Chicken,rmf0qo6796,55295,857.00,2022-08-25T04:59:53.347Z,Collins LLC,r122bw2ye5
Refined Frozen Cheese,t65nd00jgb,87002,562.00,2022-08-25T09:36:01.263Z,"Frami, Legros and Hagenes",gkwkt2shtl
Elegant Bronze Car,71seqorcf4,43088,994.00,2022-08-25T02:32:50.835Z,Legros Inc,bs9ek5883t
Elegant Metal Ball,uv9l6bhzs1,77889,404.00,2022-08-25T15:22:42.984Z,"Wisozk, Zemlak and Yundt",h3rq0lbdpg
Refined Fresh Shirt,rr5a967v3h,19055,572.00,2022-08-25T11:33:35.755Z,"Grimes, Bernier and VonRueden",dfwx4f4xht
Unbranded Wooden Bacon,1nu0avf419,93877,476.00,2022-08-25T17:46:13.646Z,Zemlak - Hand,fij4b2u17o
Luxurious Rubber Mouse,tfpvoq3t6l,28973,539.00,2022-08-24T23:44:01.340Z,"Kirlin, Sporer and Mertz",243nd0jkko
Luxurious Rubber Tuna,czey3o7pt3,39679,164.00,2022-08-25T05:38:57.934Z,Barton and Sons,7qjsm5oerp
Intelligent Soft Salad,u5zg2smc21,31989,78.00,2022-08-25T10:53:59.391Z,Kirlin LLC,pbmrw4hq0h
Sleek Frozen Towels,t1rxcotasj,71982,360.00,2022-08-25T08:45:20.280Z,"Schamberger, Funk and Heller",fh7rhdwla3
Incredible Plastic Ball,f2trfb0awq,96705,138.00,2022-08-25T07:30:54.528Z,Torphy - Kertzmann,1h42juxpz5
Tasty Plastic Bike,558ajq4ht4,18456,855.00,2022-08-25T06:31:24.708Z,Gottlieb Group,hg7ylhstce
Modern Steel Towels,wlib4xwetk,13099,139.00,2022-08-25T20:13:42.308Z,"Emmerich, McKenzie and Erdman",p0z87bglf8
Electronic Concrete Pants,zju9psg2qx,69796,452.00,2022-08-25T11:22:21.760Z,Pfeffer LLC,1ftlpzum6v
Electronic Frozen Shirt,xxx5i02ycp,87332,57.00,2022-08-25T18:10:39.590Z,Roberts - Hane,vchr0lix9w
Modern Wooden Table,izqmnlbd2m,20593,581.00,2022-08-25T06:58:20.506Z,Gorczany Inc,km7ied9wzh
Generic Concrete Pizza,aw9y8mewfy,40077,290.00,2022-08-24T23:06:41.875Z,"Hermiston, Kunde and Pagac",4hu5lus142
Tasty Metal Bacon,tcqxfxbt04,29010,209.00,2022-08-25T04:58:03.799Z,"Franecki, Orn and Wilderman",r4qvst9sj9
Rustic Steel Computer,imc8zylraf,98009,435.00,2022-08-25T07:30:57.992Z,Lowe - Goodwin,f89i4j04ip
Practical Soft Ball,pu5kzcpo18,36124,236.00,2022-08-24T21:15:52.844Z,Reinger Inc,k8kaqch2xa
Luxurious Fresh Computer,o76fw57nxy,87322,690.00,2022-08-25T01:19:38.308Z,Franey - Daugherty,2cyzfic6ex
